experiment_id,short_name,data_scope,change_type,feature_count,validation_pr_auc,validation_roc_auc,validation_brier_score,validation_top_decile_lift,validation_precision_at_top_decile,validation_recall_at_review_capacity,test_pr_auc,test_roc_auc,test_brier_score,test_top_decile_lift,test_precision_at_top_decile,test_recall_at_review_capacity,validation_balanced_ev_per_applicant,test_balanced_ev_per_applicant,conclusion,report_path
000,v1_baseline,v1,baseline,68,0.260173,0.770420,0.171640,3.490643,0.281812,0.349087,0.258236,0.770385,0.171245,3.482588,0.281162,0.348281,571.52,572.03,baseline,reports/experiments/000_v1_baseline.md
001,bureau_balance_features,post_v1_001_bureau_balance,new_source_table_sql_features,86,0.261040,0.768999,0.155995,3.469162,0.280078,0.346939,0.255433,0.769643,0.155688,3.485273,0.281379,0.348550,570.35,571.82,no_clear_improvement,reports/experiments/001_bureau_balance_features.md
002,pos_cash_features,post_v1_002_pos_cash,new_source_table_sql_features,107,0.269216,0.775945,0.168560,3.619528,0.292218,0.361976,0.266340,0.776070,0.168068,3.571196,0.288316,0.357143,574.25,575.55,improved,reports/experiments/002_pos_cash_features.md
003,credit_card_features,post_v1_003_credit_card,new_source_table_sql_features,140,0.271066,0.778197,0.175712,3.641009,0.293952,0.364125,0.268457,0.778805,0.174848,3.592677,0.290050,0.359291,576.07,584.14,improved_with_calibration_tradeoff,reports/experiments/003_credit_card_features.md
004,calibration_sigmoid,post_v1_004_calibration,post_model_probability_calibration,140,0.271066,0.778197,0.066535,3.641009,0.293952,0.364125,0.268457,0.778805,0.066550,3.592677,0.290050,0.359291,576.07,584.14,improved_calibration_no_ranking_loss,reports/experiments/004_calibration_experiment.md
005,feature_selection_top_100,post_v1_005_feature_selection,shap_ranked_feature_selection,100,0.272361,0.778729,0.066507,3.657120,0.295253,0.365736,0.268083,0.779363,0.066552,3.592677,0.290050,0.359291,576.33,580.98,selected_by_validation_simpler_than_full,reports/experiments/005_feature_selection.md
006,model_stability_full,post_v1_006_model_stability,repeated_seed_validation_stability,140,0.268848,0.777842,0.066573,3.619528,0.292218,0.361976,0.260816,0.774832,0.066855,3.575671,0.288677,0.357590,578.15,575.63,full_selected_by_validation_seed_mean,reports/experiments/006_model_stability.md
007,risk_pressure_features,post_v1_007_risk_pressure,sql_interaction_feature_family,148,0.272038,0.777827,0.066542,3.638324,0.293735,0.363856,0.266119,0.777972,0.066632,3.595362,0.290267,0.359560,575.81,581.79,mixed_small_validation_pr_auc_gain,reports/experiments/007_risk_pressure_features.md
008,narrow_pressure_features,post_v1_008_narrow_pressure,narrow_sql_interaction_feature_family,144,0.271644,0.779268,0.066519,3.641009,0.293952,0.364125,0.268472,0.780392,0.066496,3.571196,0.288316,0.357143,574.90,583.73,promising_needs_stability,reports/experiments/008_narrow_pressure_features.md
009,recency_deterioration_features,post_v1_009_recency_deterioration,sql_recency_deterioration_feature_family,152,0.272970,0.778720,0.066473,3.641009,0.293952,0.364125,0.268340,0.779274,0.066547,3.622213,0.292434,0.362245,577.63,582.04,promising_best_validation_candidate_needs_stability,reports/experiments/009_recency_deterioration_features.md
010,recency_model_stability,post_v1_009_recency_deterioration,repeated_seed_validation_stability,152,0.269003,0.778963,0.066549,3.627584,0.292868,0.362782,0.263617,0.775232,0.066779,3.599837,0.290628,0.360007,577.85,576.14,promoted_small_validation_edge_with_ev_caveat,reports/experiments/010_recency_model_stability.md
011,last_k_temporal_features,post_v1_011_last_k_temporal,source_informed_last_k_temporal_sql_features,168,0.274934,0.779251,0.066380,3.697396,0.298504,0.369764,0.271270,0.780914,0.066403,3.627584,0.292868,0.362782,576.46,583.10,promising_needs_stability_with_ev_caveat,reports/experiments/011_last_k_temporal_features.md
012,last_k_model_stability,post_v1_011_last_k_temporal,repeated_seed_validation_stability,168,0.271879,0.780531,0.066419,3.651750,0.294819,0.365199,0.264566,0.776379,0.066677,3.610578,0.291495,0.361081,580.80,577.91,promoted_validation_ranking_brier_ev_gain_with_calibration_bin_caveat,reports/experiments/012_last_k_model_stability.md
013,feature_cleanup_topn,post_v1_011_last_k_temporal,shap_ranked_cleanup_comparison,168,0.274934,0.779251,0.066380,3.697396,0.298504,0.369764,0.271270,0.780914,0.066403,3.627584,0.292868,0.362782,576.46,583.10,no_cleanup_candidate_beats_full_by_validation_rule,reports/experiments/013_feature_cleanup.md
014,feature_cleanup_stability,post_v1_011_last_k_temporal,repeated_seed_cleanup_stability,168,0.271879,0.780531,0.066419,3.651750,0.294819,0.365199,0.264566,0.776379,0.066677,3.610578,0.291495,0.361081,580.80,577.91,full_168_retained_no_simplification_promotion,reports/experiments/014_feature_cleanup_stability.md
015,final_pipeline_freeze,post_v1_011_last_k_temporal,final_reproducible_pipeline_freeze,168,0.272184,0.778732,0.066500,3.659805,0.295469,0.366004,0.269925,0.780208,0.066460,3.600733,0.290700,0.360097,577.24,581.58,final_dashboard_freeze,reports/experiments/v1_to_post_v1_model_diff.md
