model_version,base_model_version,calibration_method,split,bin_id,applicant_count,average_predicted_score,observed_default_rate,calibration_error,created_at
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,validation,1,4612,0.0825265994219152,0.00888985255854293,-0.07363674686337227,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,validation,2,4613,0.1418882786953482,0.018642965532191632,-0.12324531316315657,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,validation,3,4613,0.1935821412210543,0.02211142423585519,-0.1714707169851991,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,validation,4,4612,0.2479334035215583,0.031006071118820467,-0.21692733240273782,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,validation,5,4613,0.30754952778257005,0.043572512464773464,-0.2639770153177966,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,validation,6,4613,0.3751586137339684,0.05701278994146976,-0.31814582379249867,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,validation,7,4612,0.45353984392888996,0.0756721595836947,-0.37786768434519524,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,validation,8,4613,0.543664196108099,0.10795577715152829,-0.43570841895657075,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,validation,9,4613,0.6469766674081009,0.14849338825059613,-0.4984832791575048,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,validation,10,4613,0.7824888061756164,0.29395187513548665,-0.4885369310401298,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,test,1,4612,0.0813718079999574,0.010190806591500434,-0.07118100140845697,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,test,2,4613,0.14078437989638135,0.017125514849338826,-0.12365886504704252,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,test,3,4613,0.19165755195396628,0.023195317580750056,-0.16846223437321622,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,test,4,4612,0.24476707225004807,0.03469210754553339,-0.21007496470451467,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,test,5,4613,0.30530794834264396,0.03923693908519402,-0.26607100925745,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,test,6,4613,0.37333228277980096,0.055061781920659005,-0.31827050085914194,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,test,7,4612,0.4507176045460343,0.07393755420641804,-0.37678005033961626,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,test,8,4613,0.5416897425775684,0.09906785172339042,-0.442621890854178,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,test,9,4613,0.645895601194156,0.16475178842401908,-0.48114381277013696,2026-04-30T02:18:56Z
